Name;Code;Pourc;
France;Ile-de-France;33,76;
France;Auvergne-Rhône-Alpes;29,87;
France;Provence-Alpes-Côte d'Azur;30,21;
France;Occitanie;29,83;
France;Nouvelle-Aquitaine;32,15;
France;Grand Est;32,63;
France;Hauts-de-France;29,34;
France;Pays de la Loire;31,52;
France;Bretagne;30,61;
France;Normandie;33,09;
France;Centre-Val de Loire;35,79;
France;Bourgogne-Franche-Comté;33,11;
France;La Réunion;32;
France;Guadeloupe;40,01;
France;Martinique;40,77;
France;Corse;33,51;
France;Guyane;31,2;